* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,0 dBFS, measurement signal peak level -27,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,7512 ms (258 mm, 10,14 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 133
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2091.411865 71.837 -85.1719
2106.566895 71.081 -137.3359
2121.832031 70.393 -160.3438
2137.207764 70.823 166.4004
2152.694824 71.955 99.5215
2168.294189 74.660 -3.6328
2184.006592 76.955 -113.6250
2199.832764 76.966 169.6641
2215.773682 75.460 131.0098
2231.830078 73.680 121.9180
2248.002686 73.439 111.4570
2264.292725 73.365 68.6895
2280.700684 72.013 -33.5840
2297.227539 70.545 135.4141
2313.874268 71.437 -69.7773
2330.641602 73.218 157.7363
2347.530273 73.604 83.9453
2364.541504 73.532 11.2500
2381.676025 73.184 -116.1719
2398.934570 73.013 57.9863
2416.318359 74.385 -135.2051
2433.827881 74.988 100.9785
2451.464355 74.519 56.8574
2469.228760 75.300 38.0098
2487.121826 76.008 11.2578
2505.144531 75.548 -20.8770
2523.297852 74.185 -57.2812
2541.582764 72.038 -102.5020
2560.000000 70.207 -166.4492
2578.550781 71.214 130.4414
2597.236084 74.939 83.6309
2616.056641 78.038 38.9922
2635.013672 79.887 -9.0430
2654.108154 79.421 -53.3398
2673.340820 77.573 -84.1543
2692.713135 76.806 -144.9492
2712.225586 75.456 50.6680
2731.879395 72.668 115.3398
2751.675781 71.270 119.3457
2771.615479 72.054 145.4805
2791.699707 72.199 -138.9609
2811.929688 72.632 6.8711
2832.305908 73.484 -115.1289
2852.830078 73.815 177.7676
2873.502930 74.124 116.8730
2894.325439 74.255 34.7500
2915.298828 74.078 -75.3770
2936.424316 74.238 161.0059
2957.702881 74.742 40.3984
2979.135742 75.416 -87.3066
3000.723633 76.125 124.5605
3022.468262 76.662 -4.9141
3044.370117 75.828 -90.0664
3066.430908 75.108 -175.1328
3088.651611 74.049 50.3672
3111.033203 72.236 -72.0273
3133.577148 71.439 -134.0508
3156.284180 71.516 179.8242
3179.156006 71.671 88.0742
3202.193359 73.044 -65.0957
3225.397949 74.636 104.8086
3248.770508 75.385 -74.2207
3272.312500 75.972 -163.2617
3296.024902 76.588 153.3848
3319.909180 75.019 116.0566
3343.966797 71.324 97.8203
3368.198486 69.158 44.9961
3392.605713 71.637 -86.1523
3417.189941 73.665 131.4648
3441.952393 73.798 -5.8125
3466.894287 74.798 -141.5371
3492.016846 76.265 129.8379
3517.321289 76.257 86.4609
3542.809326 74.937 70.2422
3568.481934 75.207 50.7109
3594.340576 75.117 3.0781
3620.386719 72.988 -85.1191
3646.621582 70.310 104.7773
3673.046387 69.810 -118.0605
3699.662842 70.452 64.8125
3726.472168 70.977 -120.6074
3753.475586 71.579 -13.9336
3780.675049 72.375 121.0762
3808.071289 73.566 -1.3945
3835.666016 74.080 -85.5039
3863.460938 72.742 167.3438
3891.457275 73.488 4.6035
3919.656250 76.834 -179.4688
3948.059814 79.390 52.8008
3976.668945 79.850 -34.1719
4005.485596 78.101 -106.6309
4034.510986 75.079 -175.4980
4063.746582 72.593 118.6797
4093.194336 73.710 54.0078
4122.855469 74.912 -17.0742
4152.730957 74.495 -97.4316
4182.823730 72.783 118.1250
4213.133789 71.130 177.1113
4243.664062 71.265 113.7832
4274.415527 71.782 39.9902
4305.389648 72.790 41.6914
4336.588379 73.660 137.2207
4368.013184 73.937 -117.0000
4399.665527 73.518 32.5254
4431.547363 73.954 -82.8574
4463.660156 73.875 -138.8086
4496.005371 73.084 162.8340
4528.585449 72.234 47.0176
4561.401367 72.157 -144.9375
4594.455078 71.669 3.5371
4627.748535 71.773 -136.0918
4661.283203 72.853 160.3477
4695.060547 71.915 91.9277
4729.083008 69.202 -29.5820
4763.352051 67.649 165.2578
4797.869141 67.106 0.8906
4832.636719 66.650 -153.7676
4867.655762 66.617 109.3262
4902.928711 67.473 17.9805
4938.457520 68.877 -126.5176
4974.243652 71.177 100.5273
5010.289062 72.243 -6.5156
5046.595703 71.999 -119.1016
5083.165527 71.816 60.0703
5120.000000 71.217 128.8691
5157.101562 71.247 -133.8320
5194.472168 71.240 81.9023
5232.113281 70.803 -44.8125
5270.027344 72.241 169.9219
5308.216309 74.749 75.7969
5346.681641 76.544 13.3555
5385.426270 76.800 -67.1055
5424.451172 75.634 -174.6602
5463.758789 74.920 85.2930
5503.351562 76.297 -4.2656
5543.230957 76.525 -135.1289
5583.399414 74.562 -3.2031
5623.859375 72.838 49.3711
5664.611816 73.583 127.5000
5705.660156 74.805 -36.3477
5747.005859 75.440 -144.0391
5788.650879 75.478 70.2422
5830.597656 76.025 -99.6094
5872.848633 76.448 80.4336
5915.405762 76.400 -149.7266
5958.271484 77.332 -33.1367
6001.447266 78.303 110.8359
6044.936523 78.089 -117.5547
6088.740234 77.084 3.0039
6132.861816 75.558 143.2930
6177.303223 74.230 -88.9219
